Gene,B cells,T cells,Monocyte/Macrophage,Epithelial cells,Ovarian stromal cells,Ovarian myofibroblast,Vascular smooth muscle cells,Endothelial cells,other
ACTA2,0,0,0,0,0,1,1,0,0
ARX,0,0,0,0,1,1,0,0,0
BANK1,1,0,0,0,0,0,0,0,0
CD14,0,0,1,0,0,0,0,0,0
CD19,1,0,0,0,0,0,0,0,0
CD2,0,1,0,0,0,0,0,0,0
CD28,0,1,0,0,0,0,0,0,0
CD33,0,0,1,0,0,0,0,0,0
CD3D,0,1,0,0,0,0,0,0,0
CD3E,0,1,0,0,0,0,0,0,0
CD3G,0,1,0,0,0,0,0,0,0
CD4,0,0,1,0,0,0,0,0,0
CD79A,1,0,0,0,0,0,0,0,0
CDH1,0,0,0,1,0,0,0,0,0
CDH5,0,0,0,0,0,0,0,1,0
CLEC14A,0,0,0,0,0,0,0,1,0
COL1A1,0,0,0,0,0,1,1,0,0
COL3A1,0,0,0,0,0,1,1,0,0
DCN,0,0,0,0,1,0,0,0,0
EMCN,0,0,0,0,0,0,0,1,0
EPCAM,0,0,0,1,0,0,0,0,0
FCGR3A,0,0,1,0,0,0,0,0,0
FOXL2,0,0,0,0,1,1,0,0,0
ITGAM,0,0,1,0,0,0,0,0,0
ITGAX,0,0,1,0,0,0,0,0,0
KRT8,0,0,0,1,0,0,0,0,0
LYZ,0,0,1,0,0,0,0,0,0
MCAM,0,0,0,0,0,0,1,1,0
MS4A1,1,0,0,0,0,0,0,0,0
MUM1L1,0,0,0,0,1,1,0,0,0
MYH11,0,0,0,0,0,0,1,0,0
MYLK,0,0,0,0,0,0,1,0,0
PECAM1,0,0,0,0,0,0,0,1,0
PLN,0,0,0,0,0,0,1,0,0
PTPRC,1,1,1,0,0,0,0,0,0
RBP1,0,0,0,0,1,0,0,0,0
SERPINH1,0,0,0,0,0,1,1,1,0
TPT1,0,0,0,0,1,0,0,0,0
VIM,1,1,1,0,1,1,1,1,0
VWF,0,0,0,0,0,0,0,1,0
WFDC2,0,0,0,1,0,0,0,0,0